팜피㈜,경력,학력무관,"성실성, 성장지향성, 꼼꼼함","Docker, MariaDB, MySQL, PostgreSQL, Ai, LLM, liama, Lamba"
제이피아이 헬스케어㈜,경력 (3년이상),대학원(석사)이상,,"C, C#, C++"
건설기계부품연구원,신입,대졸이상,,
㈜마젠타로보틱스,경력 (2년이상),대졸이상,,"Python, ROS"
㈜온품,경력 (2년이상),대졸이상,,
아이덴티파이㈜,경력 (2년이상),대졸이상,"성취지향성, 창의성, 협동심","Docker, Flask, kubernetes, Python, Pytorch, Tensorflow, CUDA, NLU, Fastapi"
브리드비인터내셔널,경력,학력무관,,
메디픽셀,경력 (3년이상),대졸이상,,
㈜핸디비전,신입,학력무관,,
㈜핸디비전,신입,대졸이상 (졸업예정자 가능),,"Python, Pytorch"
㈜그린텍아이엔씨,경력 (3년이상),학력무관,"성실성, 꼼꼼함, 적응성, 계획성, 스트레스관리",
대신경제연구소,신입,대졸이상,,
엔셀㈜,신입,대졸이상,,"Python, Tensorflow"
다중지능연구소,경력,학력무관,,
㈜투비웨이,신입,대졸이상,"성취지향성, 창의성, 성장지향성","Consulting, modeling, Palantir, o9, SAP IBP"
㈜크레셈,경력 (3년이상),학력무관,"성실성, 창의성, 협동심, 성취지향성, 적응성, 계획성","C#, WPF, VC++, Machine Vision"
㈜지란지교데이터,경력 (5년이상),대졸이상,"윤리의식, 창의성, 협동심, 적응성, 스트레스관리","C++, Git, Jira, Pytorch, Confluence, OCR, Github, GITLAB, Object Detection, NER"
㈜트윔,신입,대졸이상,,"C, C#, C++, JAVA, OpenCV, Python"
㈜트윔,신입,초대졸이상,,"C, C#, C++, JAVA, OpenCV, Python"
㈜트윔,경력 (3년이상),초대졸이상,,"C, C#, C++, JAVA, OpenCV, Python"
캐낸다,경력 (3년이상),초대졸이상,,"AWS, Git, JAVA, PostgreSQL, RestAPI, Spring Framework"
㈜인터전기,경력 (7년이상),대학원(석사)이상,"계획성, 성실성, 성취지향성, 꼼꼼함, 적응성, 창의성, 성장지향성","Android, API, C, C++, JAVA, Javascript, 임베디드리눅스, 임베디드 소프트웨어, 임베디드 하드웨어, Ai"
㈜쓰리아이,경력 (5년이상),대졸이상,,
㈜에이스웍스코리아,신입,대졸이상,,
올거나이즈코리아㈜,경력,학력무관,,"Python, SQL"
㈜바이브컴퍼니,경력 (5년이상),대졸이상 (졸업예정자 가능),,"API, JAVA, JSP, MySQL, Oracle, SQL"
