comp_name,link,apply_require,condition,comp_info
베스핀글로벌㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45311994?Oem_Code=C1&logpath=1&stext=&listno=31,경력 경력 (3년이상) 학력 대졸이상,고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 서초구 지도 시간 주5일 (월~금) 09:00~18:00 탄력근무제,산업(업종) 컴퓨터시스템 통합 자문 및 구축 서비스업 사원수 689명 설립년도 2015년 (10년차) 기업형태 중소기업 (-) 홈페이지 bespinglobal.com
㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/45294081?Oem_Code=C1&logpath=1&stext=&listno=32,경력 경력 (3년이상) 학력 학력무관,고용형태 정규직 급여 회사내규에 따름 지역 경기도 성남시 분당구 지도,"산업(업종) 컴퓨터·하드웨어·장비 사원수 3,500명 설립년도 1994년 (31년차) 기업형태 대기업 (비상장) 홈페이지 company.nexon.com"
㈜천재교육,https://www.jobkorea.co.kr/Recruit/GI_Read/45293582?Oem_Code=C1&logpath=1&stext=&listno=33,"경력 경력 (5년이상) 학력 학력무관 스킬 AWS, Python, Pytorch, Tensorflow, AWS EKS 핵심역량 협동심, 메타인지, 성취지향성 우대 기본우대 유관업무 경력자",고용형태 정규직 수습 4개월 계약직 근무기간 12개월 정규직 전환가능 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 금천구 지도 시간 주5일 (월~금) 08:30~17:30 탄력근무제 직책 팀원,산업(업종) 교과서 및 학습서적 출판업 사원수 752명 설립년도 1981년 (44년차) 기업형태 중견기업 (비상장) 홈페이지 chunjae.co.kr
슈어소프트테크㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45289230?Oem_Code=C1&logpath=1&stext=&listno=34,"경력 경력 (3년이상) 학력 대졸이상 스킬 C, C#, C++, HTML, iOS, JAVA, Javascript, Window, Linux, Cloud 우대 우대전공 정보통신공학과",고용형태 정규직 급여 회사내규에 따름 지역 경기도 성남시 수정구 지도 시간 주5일 (월~금),산업(업종) 솔루션·SI·CRM·ERP 사원수 440명 설립년도 2002년 (23년차) 기업형태 중소기업 (코스닥 상장) 홈페이지 suresofttech.com
㈜비즈테크아이,https://www.jobkorea.co.kr/Recruit/GI_Read/45284805?Oem_Code=C1&logpath=1&stext=&listno=35,"경력 경력 (2년이상) 학력 대졸이상 스킬 C#, C++, MSSQL, OpenCV, Oracle, Pytorch, CIM, RTD, mcs 우대 기본우대 영어가능자",고용형태 정규직 계약직 급여 회사내규에 따름 - 면접 후 결정 지역 충북 청주시 흥덕구 지도 시간 주5일 (월~금) 09:00~18:00,산업(업종) 컴퓨터시스템 통합 자문 및 구축 서비스업 사원수 846명 설립년도 2003년 (22년차) 기업형태 대기업 (비상장) 홈페이지 biztechi.com
㈜큐엠씨,https://www.jobkorea.co.kr/Recruit/GI_Read/45282787?Oem_Code=C1&logpath=1&stext=&listno=36,"경력 경력 (3년이상) 학력 초대졸이상 스킬 C, C#, C++, Visual Studio, VIsualC·C++, C++Builder 우대 기본우대 유관업무 경력자",고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 경기도 안양시 동안구 지도 시간 주5일 (월~금) 09:00~18:00 직급 주임~대리급 더보기 과장~차장급 부장급 직급 더보기 레이어 닫기,산업(업종) 반도체·디스플레이·광학 사원수 100명 설립년도 2003년 (22년차) 기업형태 벤처기업 (코넥스 상장) 홈페이지 iqmc.co.kr
㈜인콘,https://www.jobkorea.co.kr/Recruit/GI_Read/45279809?Oem_Code=C1&logpath=1&stext=&listno=37,"경력 경력 (7년이상) 학력 학력무관 스킬 .Net, C#, C++, MSSQL, VIsualC·C++",고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 강남구 지도 시간 주5일 (월~금) 09:00~18:00,사원수 80명 설립년도 2000년 (25년차) 기업형태 벤처기업 (코스닥 상장) 홈페이지 incon.kr
SK C&C,https://www.jobkorea.co.kr/Recruit/GI_Read/45279730?Oem_Code=C1&logpath=1&stext=&listno=38,경력 경력,고용형태 정규직 급여 회사내규에 따름 지역 경북 구미시,"산업(업종) 지주회사 사원수 4,500명 설립년도 1991년 (34년차) 기업형태 대기업 (코스피) 홈페이지 sk.co.kr"
㈜아이유노글로벌,https://www.jobkorea.co.kr/Recruit/GI_Read/45271242?Oem_Code=C1&logpath=1&stext=&listno=39,"경력 경력무관 학력 학력무관 스킬 Python, Pytorch, RestAPI, Tensorflow, Restful API",고용형태 계약직 근무기간 3개월 정규직 전환가능 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 마포구 지도 시간 주5일 (월~금) 10:00~19:00 탄력근무제,산업(업종) 방송·케이블·프로덕션 사원수 240명 설립년도 2004년 (21년차) 기업형태 외국계(외국 투자기업) (비상장) 홈페이지 https://iyuno.com
㈜에프앤가이드,https://www.jobkorea.co.kr/Recruit/GI_Read/45270446?Oem_Code=C1&logpath=1&stext=&listno=40,경력 경력 (8년이상) 학력 대졸이상 스킬 Python 우대 기본우대 석사학위 수여자,고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 강서구 지도 시간 주 5일(월~금) 08:00~17:30 직책 팀원,산업(업종) 데이터베이스 및 온라인정보 제공업 사원수 168명 설립년도 2000년 (25년차) 기업형태 중소기업 (코스닥) 홈페이지 fnguide.com
